out_ph_range
---------------------------
30216...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '293.15'}
30217...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '303.15'}
30218...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '303.15'}
30219...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '323.15'}
30259...{'ionic strength': 'NACL', 'ph': '3.3', 'pressure': '1', 'temperature': '298'}
30260...{'ionic strength': 'NAOH', 'ph': '3.3', 'pressure': '1', 'temperature': '298'}
30315...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30317...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '308'}
30322...{'ionic strength': '50', 'ph': '4.0', 'pressure': '1', 'temperature': '298'}
30323...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30324...{'ionic strength': '-1', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30352...{'ionic strength': '20', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30372...{'ionic strength': 'NO SALT ADDED', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
30378...{'ionic strength': 'NA', 'ph': '3.8', 'pressure': '1', 'temperature': '293'}
30380...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30381...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30382...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30383...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30396...{'ionic strength': '-1', 'ph': '4.3', 'pressure': '1', 'temperature': '298'}
30412...{'ionic strength': '0', 'ph': '3.5', 'pressure': '1', 'temperature': '280'}
30439...{'ionic strength': '0', 'ph': '4.3', 'pressure': '1', 'temperature': '298'}
30440...{'ionic strength': '0', 'ph': '4.3', 'pressure': '1', 'temperature': '298'}
30441...{'ionic strength': '0', 'ph': '4.3', 'pressure': '1', 'temperature': '298'}
30442...{'ionic strength': '0', 'ph': '4.3', 'pressure': '1', 'temperature': '298'}
30443...{'ionic strength': 'ACID', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30470...{'ionic strength': 'ND', 'ph': '4.1', 'pressure': '1', 'temperature': '298'}
30475...{'ionic strength': 'NOT DEFINED', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30479...{'ionic strength': 'NA', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30482...{'ionic strength': 'ACID', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30483...{'ionic strength': 'ACID', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30516...{'ionic strength': 'ACID', 'ph': '4.3', 'pressure': '1', 'temperature': '298'}
30519...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30521...{'ionic strength': '0', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30522...{'ionic strength': '0', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30534...{'ionic strength': '0', 'ph': '3.5', 'pressure': '1', 'temperature': '278'}
30535...{'ionic strength': '0', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30536...{'ionic strength': '0', 'ph': '3.5', 'pressure': '1', 'temperature': '310'}
30562...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30579...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '308'}
30580...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '308'}
30609...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '280'}
30617...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30618...{'ionic strength': 'NA', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30619...{'ionic strength': 'NA', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30620...{'ionic strength': 'NA', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30621...{'ionic strength': 'NA', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30647...{'ionic strength': '1', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30648...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '298'}
30654...{'ionic strength': 'NA', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30657...{'ionic strength': '0', 'ph': '3.4', 'pressure': '1', 'temperature': '298'}
30666...{'ionic strength': 'TFA', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30667...{'ionic strength': 'TFA', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30668...{'ionic strength': 'TFA', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30669...{'ionic strength': 'TFA', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
30670...{'ionic strength': 'NA', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
